,uid,scenario,label
509,26390,being offended by my girlfriends opinion of a car,-1
510,26391,being less than kind to an older woman who constantly shows up too early,-1
511,26389,getting my girlfriend and her mom in trouble at work,-1
512,26388,getting pissed off at my bf for not wanting to be physically intimate even though we're both in a bad emotional place,-1
513,26386,calling out my teacher,-1
514,26387,forcing my way through a metro turnstile,-1
515,26392,calling out a moderator for deleting every single persons reply because his got negative reviews,0
516,26400,yelling at a guest for getting comfy,-1
517,26397,not saying good morning,-1
518,26401,venting with a co-worker over dinner about her boss,-1
519,26394,telling my mother that I am not going to sneak around the house to accommodate our muslim house guest as the lady doesn't want to be seen without a head cover thing,-1
520,26396,making my brother clean up my mess alone,-1
521,26393,not understanding my roommates specific boundaries,0
522,26395,breaking up with my so,0
523,28216,"I like to think I am a good person but I constantly don't give a f**k about other people or their lives. I can't help it. I will open doors for people, be well mannered in public but whenever someone tries to tell me a story about an inconvenience in their life etc, I don't give a f**k.",-1
524,28221,"Just had a huge argument with my mum, throwaway account",-1
525,28223,I can’t stop dating multiple people at the same time,-1
526,28226,I hate that my aunt colors her hair,-1
527,28225,I’m 99% sure my teacher liked me,0
528,28227,i tricked the nicest teacher in the universe,-1
529,28222,"I witnessed a psychiatrist swearing at and name calling a patient, I was shocked and told my coordinator. Going to work is miserable now... I kind of wish I had kept my mouth shut.",-1
530,28224,I got my flatmate kicked out,-1
531,28233,My Family Is Pressuring Me Over Politics,-1
532,28236,Working at the school I used to be a student,0
533,28228,I want my boyfriend to hurt me,-1
534,28235,I think I actually like Honey Boo Boo....,0
535,28234,I miss out on school because of acne,-1
536,28229,My friend's sister is getting praise for being a young mother and I have no respect for her,-1
537,28232,"I think it’s funny how so many transgenders are saying they regret transitioning, everyone who isn’t a brainwashed liberal knew this was gonna happen",-1
538,28231,I can't look one customer in the eye because he looks almost exactly like my ex,-1
539,26425,wanting to kick out one of my roommates,-1
540,26423,not backing up my mom,-1
541,26428,resenting that my children see their mom as a hero,-1
542,26421,confronting my mother about my 12 yr old brother being given shots,-1
543,26422,reporting some girls for sexual harassment,1
544,26427,using the handicap stall,-1
545,26424,telling my wife I want to transition,0
546,28238,I love boxing; not because it fulfills a deeply necessary need to let out aggression but because I enjoy being surprised by a hit.,-1
547,28242,Car temperature is always set to 24,0
548,28240,I was happy when my step-moms mother died.,-1
549,28237,I HATE Alexandria Ocasio-Cortez’s politics...but I masturbated to pictures of her.,-1
550,28239,I lose respect for people with “depression”,-1
551,28241,Yesterday I ate my roommate's entire slice of cheesecake and I feel awful,-1
552,28248,I have destructive tendencies,-1
553,28255,I think I just found my dad...,0
554,28245,I think i pretty much hate mods,-1
555,28252,"I truly need help from a mature person, if you can give me any helpful advice don't think twice pretty please.",-1
556,28250,I have never met anyone respectable who watches anime,-1
557,28254,I’m starting to believe my girlfriend might just be the dumbest person I’ve ever met.,-1
558,28247,I lose any respect for those who buy the new iPhone and similar priced products.,-1
559,28258,I unironically question the legitimacy of the state of Israel,-1
560,28263,Ghetto people bother me,-1
561,28259,Alt-right trolls are upset because I told the truth,-1
562,28264,"The more karma you have, the less I respect you. Karma is just a measure of how much you follow the hive mind.",-1
563,28261,The most....shameful? moment of my life?,0
564,28266,I hide my taste in music around my friends and family,0
565,28262,i used to encourage eating disorders,-1
566,28265,I feel a general lack of respect for people and don’t quite know why.,-1
567,26432,driving extra slow when they tailgated,-1
568,26433,getting mad at my mom when she touched people's art in a museum,-1
569,26430,insisting that my husband not engage in his cross dressing activities within our home while we work on getting divorced,-1
570,26431,wanting to keep my schedule and saying I'll quit if they don't keep it,-1
571,26429,asking/telling my stepdad to not interrupt me when I'm talking,-1
572,26434,ignoring an ex-good friend of mine,-1
573,26437,yelling at my mum on the street,-1
574,26435,telling a friend that her backpack looked like shit,-1
575,28273,What is Up With Liberals And Defending Soleimani,0
576,28269,"When I vote, I vote for big government just out of spite, because I want to see the United States government oppress U.S. citizens.",-1
577,28278,my roommate's BF is rude,-1
578,28274,A guy i served with just died and i laughed,-1
579,28277,When I was a kid I used to latch onto my friend and whimper to her that I was scared when walking down a long dark path at night,0
580,28271,I'm about to cut for the very first time and I'm very nervous,0
581,28268,I think my co-workers are gross for having acrylic nails,-1
582,28272,"I could’ve lost my virginity today if I wanted to, I didn’t, but I could have. And it feels super weird to know that lol",0
583,26442,not telling my friend that her POS husband molested me,-1
584,26439,getting mad at my boyfriend for being too gentle during sex,-1
585,26441,making a joke that could be considered anti-semitic,-1
586,26443,refusing an Ambulance after Doctor insisted on it,-1
587,26440,cat fishing my friend,-1
588,26438,not being able to handle my boyfriends 15 year old sons attitude,-1
589,26444,not standing for a psalm,-1
590,26445,wanting to go to work sooner against my parents wishes,-1
591,28288,My girlfriends dad made me cry,0
592,28291,I did something incredibly creepy and now I'm afraid I'll never be able to be totally honest with people.,-1
593,28293,I think it’s time for the left to get with the right on guns,-1
594,28290,I am not racist but I find it hard to treat asian dudes with respect,-1
595,28292,"I would really prefer a big bag of Crunchits, but I buy partymix because it seems more respectable",-1
596,28295,I like to pretend to not be American,-1
597,28289,I'm sorry but I immediately lose all respect for any male who claims to be depressed,-1
598,28303,Losing friends because of politics,-1
599,28298,Addiction has made me loose my friends and respect from my family.,-1
600,28297,I have no respect for my manager,-1
601,28301,I broke-up with my long-distance girlfriend to be with a life long childhood crush and best friend.,-1
602,28296,I call my bofriends son spawn,-1
603,26461,wanting to cut my mom off if she keeps smoking/drinking,-1
604,26462,being annoyed of my roommate and his new girlfriend,-1
605,26459,being irritated with my roommate's childishness,-1
606,26456,dating my ex's ex-bestfriend,0
607,26464,yelling at my sister & her boyfriend,-1
608,26465,ruining probably Kid's childhood,-1
609,28341,I hate my religion but my parents doesn't want me to leave *warning it's long*,-1
610,28348,"Covering tracks, logistically simple but emotionally brutal",0
611,28338,I punched a cop so hard in the ear he lost his hearing.,-1
612,28335,One of my childhood friends has just passed away at the age of 18.,0
613,28342,"I unplug things that annoy me, but are not my things to unplug.",-1
614,28344,I'm obsessed with a stuffed animal.,0
615,28337,I'm a toxic friend? Should I cut myself out of my best friend's life?,-1
616,26496,"not wanting someone along on a trip, because I fear she'd worsen it, just like she did last year",-1
617,26493,not being comfortable with my G/F wanting to grow weed in our rental house in a country where its still illegal,-1
618,26492,calling the RA on a girl in the bathroom,-1
619,26489,not respecting Trans friend as much as I can,-1
620,26488,not wanting to upload pictures of my child on Instagram,0
621,26498,being mad at my boyfriend for something his friends did,-1
622,26497,being annoyed because my girlfriend sleeps about 70% of the time I see her,-1
623,26491,starting to fancy my bestfriends crush,-1
624,28351,I don't think I'd be able to refrain from cheating in a relationship.,-1
625,28350,I'm crushing hard on a guy I think is straight,0
626,28354,I post liberal stuff on Facebook to bait my ultra-conservative uncle.,-1
627,28349,"i don't like mothers day because of how political my mother gets nowadays, my own mother ruined mother's day for me.",-1
628,28352,I'm 19 and I don't have my drivers license yet,0
629,28357,I knock on the doors even when im alone in the house.,1
630,28355,I let a house guest's toothbrush fall into the toilet and didn't tell them.,-1
631,28353,I'm staying with an SO who cheated,0
632,26506,telling a elderly person to gtfo,-1
633,26507,getting mad at my grieving father,-1
634,26503,not always holding the door,-1
635,26505,moving someone's clean clothes out of my complex's dryer,-1
636,26504,making an insulting joke to somebody I resent,-1
637,26501,not allowing my good friend's abusive girlfriend in my home,-1
638,26500,not wanting to tan or hide my sex toys,-1
639,26499,not wanting to meet my moms boyfriend who was part of the reason my parents separated,-1
640,28364,"“So long as I continued to essentially deny my sinful behavior by trivializing it, real change was virtually impossible.”",-1
641,28365,I have almost no drive to socialise,-1
642,28363,I wear tampons. I'm a guy.,-1
643,28359,I make SFX sound effects in conversations unknowningly and cringe hours later,0
644,28366,I don’t know how not to be broken.,0
645,28362,I shred all my girlfriends letters from PETA,-1
646,28361,I’m a waiter and I make sure to always say enjoy your food so that I can occasionally hear the defeat in my guests voice after they say you too,-1
647,28358,I haven't showered in 3+ weeks.,-1
648,26523,yelling at my friend,-1
649,26520,kicking a girl out of my car and leaving her on the side of the road,-1
650,26525,deleting my brothers Pokemon save on my cartridge,-1
651,26521,telling my uncle off for his wife's behavior,-1
652,26517,saying Taiwan is a country to my chinese roommate,-1
653,26519,cursing at work,-1
654,26524,feeling like my girlfriend and mother crossed a boundary,-1
655,26518,having some friends over past 12:00 on a Friday night,-1
656,28370,I don't respect people who don't praise me,-1
657,28372,I say thank you as much as I can at Chick-fil-A.,1
658,28376,Entitled mom gets angry I won’t give her child my window seat,-1
659,28373,I put up my hand to say thanks every time I switch lanes,1
660,28374,I'm the guy who keeps telling people who are suicidal to jump and do a flip,-1
661,28369,I have a lot of kinks,0
662,28367,I wish my SO would hit me,0
663,28375,I pour milk before cereal,0
664,26526,treating cashiers like they're stupid to avoid getting the wrong change,-1
665,26534,not allowing my mother's boyfriend at my wedding,-1
666,26528,taking offense if my daughter asked both me and stepdad to walk her down the isle together,-1
667,26530,dumping several pounds of dogshit on my neighbor's lawn,-1
668,26529,"putting my baby sister in timeout, and refusing to listen to my father",-1
669,26531,pretending to share a girls political views so we can keep sleeping together,-1
670,26533,complaining on my upstairs neighbors to our landlord,-1
671,26527,not wanting to be there for a self-destructive friend,-1
672,28379,"Barack Obama, The NlGGER President",-1
673,28381,Men who are nice to women are disgusting,-1
674,28377,I really love feminine clothing,0
675,28380,"I am a boss who mandates prospective employees allow me to see their social networking comments, pics &amp; friends...even more...",-1
676,28384,There's a lot of trolls on here now,-1
677,28382,I am stealing utensils from work,-1
678,26541,not letting my bf buy games that his friend wants him to buy to play together,-1
679,26540,being mad that boyfriend sleeps in all the time,-1
680,26543,asking for a blowjob from my gf and making our relationship all about sex,-1
681,26539,demanding to go through my partner's phone,-1
682,26537,telling my co-workers to step on a lego,-1
683,26547,"deeming my brother too aggressive, when I provoked him",-1
684,26551,catfishing my best friend's trash boyfriend,-1
685,26550,telling my so she had bad breath,-1
686,26549,fighting to have my friend that associates with an ememy of my roommate's over,-1
687,26545,sitting on my roommates couch naked,-1
688,26544,not wanting to give money to my mom's parents,-1
689,26546,continuing to get angry and possibly break up with my gf for constantly wearing other guys clothes,-1
690,28411,"When I worked for a Wheelchair rental company, I'd loosen the wheels and brakes.",-1
691,28401,I find comfort in my depression and eating disorder,-1
692,28398,I do not feel comfortable eating with vegetarians or vegans.,-1
693,28410,My Dad is Crazy,-1
694,28400,I only stopped eating fast food because the service person was rude and not because of self control,-1
695,28406,"I work around death and tragedy, but only one thing brings me to tears",0
696,26586,leaving my bipolar girlfriend to cry herself to sleep,-1
697,26588,participating in strangers' photos,-1
698,26587,asking my gf to stop hanging around a guy,-1
699,26585,not giving up my table for an elderly couple,-1
700,26590,telling my mom's bf that he's not my father,-1
701,26589,telling my best friend and his girlfriend to stop being affectionate at my house,-1
702,26584,wanting to have aunts dog in another room during Christmas,-1
703,26581,not being comfortable with my girlfriend sending a male friend money,-1
704,26598,being brutally honest with a friend,-1
705,26593,claiming that my GF is overreacting to cultural appropriation,-1
706,26594,blocking an online gamer buddy who got clingy,-1
707,26592,turning the thermostat down when I'm out but my lodger is in,-1
708,26596,making plans to see my nieces and nephews without my brothers permission,-1
709,26597,driving exactly the speed limit in the left lane during a heavy rainstorm,1
710,26595,being uncomfortable with my genderfluid partner's social media accounts,0
711,28446,I have the weirdest taste in music.,0
712,28442,Things I don't like about my brother's wife,-1
713,28445,I believe men should have their testicles cut off at birth,-1
714,28444,I wish I could get more respect from men. I need to be more vocal.,-1
715,28447,I justify my laziness thinking that somewhere in the universe whole planets are dissapearing due to their mother stars exploding so its insignificant to not study for an exam.,-1
716,28448,"I teach high school kids with behavior issues, and I hate them all.",-1
717,28443,Could not help myself...what do I do now?,-1
718,26608,telling my mom to leave,-1
719,26612,getting a negative staff member fired,-1
720,26610,arguing with my mom,-1
721,26611,saying I hate mormons,-1
722,26614,being upset with my boyfriend because he didn't talk to his friend about the friend's inappropriate behavior,-1
723,26615,telling an anxious friend to be respectful,-1
724,26607,asking my roommate to stop touching my dog's waterbowl,-1
725,26613,reprimanding girls at my school about mocking people with mental health issues,-1
726,28461,I have a foot fetish,0
727,28466,How my friends comfort others..,0
728,28459,im going to kiss my girlfriend rennie tonight,0
729,28464,I'm trans and I'm trying to accept myself as my born gender,0
730,28460,I catfished my ex bf with a couple dates with guys from grindr.,0
731,28462,My mom told me that she would like to be euthanised when she turns 70.,0
732,28465,I am a guy and I like twerking.,0
733,26625,having a different opinion with my brother and kinda laughing at his,-1
734,26626,only using an alternate gendered persona online,-1
735,26627,taking an unvaccinated child to a friends birthday when she asked for no unvaccinated people,-1
736,26629,getting mad people for using the elevator to go up one floor on a 20 floor building,-1
737,26630,asking my neighbours in a not very polite way to turn the music off,-1
738,26624,not wanting to hang out with my dad,-1
739,26628,not letting him re-do our basement based on his history of not finishing anything,-1
740,26635,telling my friend I refuse to see her partner again,-1
741,26637,telling staff members of a Discord server to enforce their rules more strictly,-1
742,26640,not wanting to be near my super tight-knit family,-1
743,26634,having a bf when that's considered unchaste in my culture,-1
744,26638,getting upset with my mom and her new boyfriend for blatantly having loud sex while I am home,-1
745,26632,wearing a leather jacket and eating meat on a date with a vegan,0
746,26639,refusing to stop eating junk food around dieting friends,-1
747,28469,I’m a grown man and still find farts hilarious,-1
748,28474,"I let people walk all over me, and I don't even care anymore.",-1
749,28471,I watched the Emoji Movie unironically. And loved it.,0
750,28467,"I was a selfish, narcissistic young man.",-1
751,28473,I guess I have a fetish?,0
752,28470,I think a lot about getting two dreadlocks on top of my head and shaving the rest so it will look like I have antennas,-1
753,28472,I absolutely hate my dad,-1
754,28475,I think I crossdress because of my mother and I'm afraid to talk to her about it.,-1
755,26658,indirectly saying no to my friend's roommates to come over,-1
756,26663,making an exception to our Lost and Found policy,1
757,26662,asking my girlfriend not to spend so much time with her friends,-1
758,26665,telling off a sales person,0
759,26659,going annoyed at my mom's behavior,-1
760,26666,trying to get past my parent's strict rules,-1
761,26661,complaining about old people,-1
762,26657,reporting someone for saying they would plagiarize me,-1
763,28502,"I hate Steve Shives now, He became an SJW clown.",-1
764,28504,Most white dudes think nobody can even judge them no matter what they do. Is it something in European culture that makes them think they are owed respect?,-1
765,28501,When women dont reply on dating sites,0
766,28505,I don't want to call my ex by their new Pronouns,-1
767,28498,The dimming of lights is extremely comfortable,0
768,28497,please lie to me and tell it's going to be okay,-1
769,28503,"I liked Windows 98 the best, and would use it if there was a 64-bit version.",0
770,28500,I farted cake at a blind nun.,-1
771,28506,"I’ve been trying to get into same or next day appointments at my university’s counselling office for three weeks now, and I’m barely holding it together.",0
772,28511,"As a guy, I sometimes wear women's deodrant when I'm out of men's or women's perfume when I'm out of cologne",0
773,28509,I dip my flatmate's brush on the toilet bowl with my sht,-1
774,28513,I wish my baby brother and sister were never born,-1
775,28508,I think cats look cuter than human babies,0
776,28514,I'm ashamed to admit I'm in the Air Force,-1
777,28510,"My friend did something illegal, and I’m not sure how I feel about it",0
778,28512,I don't want to live a conventional lifestyle. &amp; I don't know why it's such a strong urge.,-1
779,26676,confronting my gf abt her being rude,1
780,26678,arguing with a classmate about his learning disability,-1
781,26677,being pissed at my dad,-1
782,26683,accidentally shouting at my mother,-1
783,26680,honking and flashing my lights at people doing 45 in a 65 in the far left lane of the highway,-1
784,28520,"I embarrassed my daughter in front of her boyfriend, and I think I’m gonna regret it",-1
785,28515,I have the stomach flu and my boyfriend forgot to flush the toilet,-1
786,28522,I lie to my coworkers about my political beliefs in order to get ahead in life,-1
787,28519,I work for a slot machine company and I have a massive gambling problem.,-1
788,28516,Addiction to prostitution for 4 years and counting,-1
789,28531,I'm the most disgusting person I know,-1
790,28533,"I'm not racist, as I believe all races need to be treated equally and with respect, but I firmly believe there are some big differences between races",-1
791,28528,My self steem is so low that when someone is being polite I think they like and will soon tell me about it.,0
792,28527,I yelled at my SAT Math Teacher during class because he was promoting cheating,-1
793,28532,I prefer instant ramen over regular ramen,0
794,28535,I secretly want to hug everybody that looks like they need one,1
795,28530,I always have to roll down my window when I turn left.,0
796,28529,My life is spiraling and I'm scared,0
797,28548,If someone identifies as some bs otherkin 'gender' I will not respect their delusions,-1
798,28551,I read my sisters browsing history.,-1
799,28549,I'm very annoyed with him.,-1
800,28545,I'm at this point in my life where I no longer know what to do..,-1
801,28555,Finding people your most comfortable with,1
802,28557,I am a climate change denier,-1
803,28554,I wear my contact lenses non stop,0
804,28546,I'm 22 and I sleep with my baby blankie every night,0
805,26719,blocking a friend after she didn't respect me being sick,-1
806,26712,rejecting someone in a direct manner,-1
807,26720,asking my roommates gf to stop using my bathroom,-1
808,26713,forcing my boyfriend to open his phone so I can snoop,-1
809,26717,keeping my phone on when my mum was talking to me,-1
810,28566,"I’m 18, going off to college, and I still feel bad when I hug one stuffed animal more than another.",0
811,28561,I cant stand them...,-1
812,28568,Sometimes I forget that you can smell farts &amp; try to just let them out slowly &amp; silently when in a crowd.,-1
813,28560,I love it when girls have messy hair and wear comfortable cloths that almost resemble pajamas,0
814,28558,"When I worked at Subway, we used to roll the bread on the floor.",-1
815,28567,"I watch Obama videos when I'm down, because it makes me feel safe and secure.",0
816,28562,Conformity and blending in with the crowd is weak,-1
817,26728,telling my so she needs to get rid of clothes,-1
818,26727,having some friends over that I knew my roommate has issues with,-1
819,26722,telling my mom that I'm tired of having her in my room,-1
820,26724,wanting more assholes to post here,-1
821,26726,refusing to make Sexual Jokes about my Ex,1
822,26723,not sharing my salad with my mom,-1
823,26725,not wanting to order a bridesmaids dress online,0
824,26721,not giving my grandma her ex husband's ashes,-1
825,26731,"not wanting to date my Special Ed classmate, then telling him off for asking me out",-1
826,26736,asking my bf to manscape a little,0
827,26735,insulting my family,-1
828,26732,getting upset at my so for not approving photos I post on his fb timeline,-1
829,26729,deleting a photo of myself on my Mom's phone,-1
830,26733,going against my parents wishes by not giving my kids traditional names,-1
831,26734,not respecting my friends choice of partner,-1
832,28576,I hate myself with every fibre of my being and I don't think it will ever get better,-1
833,28571,I know I'm not completely over my ex...,-1
834,28573,I’m a compulsive courtesy-flusher at work.,-1
835,28575,I am a dude who started wearing thong underwear because i grew up watching Trish Stratus in the WWE always wearing one in matches.,-1
836,28569,I genuinely cannot tell how bad of a person I am,-1
837,28574,"If War Breaks Out, I’m Rooting For Iran",-1
838,28572,"When in secondary school, I stole year 11 students BTEC course work and destroyed it",-1
839,28589,I want her to leave me alone but she just won’t,0
840,28593,I live my life like there’s no tomorrow and all I’ve got I had to steal,-1
841,28588,"I think I saw a girl with cuts on her wrists, and I didn't say a thing to her or anybody.",0
842,28602,I hate helping old people during the winter,-1
843,28601,White women are the only real women on Earth,-1
844,28597,I beat up a transgender FREAK,-1
845,28599,I still enjoy art from disgraced performers and producers.,-1
846,28595,"My 60 year old colleague audibly farts when I am talking to her. I pretend I don't notice it out of respect, but it's becoming tough not to laugh. It's always unexpected.",-1
847,28600,"As a woman, I hate feminism",-1
848,28598,I honestly think anti-vaxxers should be prosecuted,-1
849,26769,asking my roommate to stop watching YouTube videos around me,-1
850,26767,not pitching in on my boss' birthday gift,-1
851,26765,flagging down a server,-1
852,26768,telling my cousin his girlfriend is crazy,-1
853,26764,trying to get my wife to confront my sister-in-laws manipulative behavior,-1
854,26770,unfriending someone over a MAGA hat,-1
855,26766,telling my husband that he needs to stop snapchatting his coworker,-1
856,26763,cancelling an introductory political meeting when the person I was meeting with wanted me to meet at their office rather than at the coffeeshop,-1
857,28641,Covered for cheating friend,-1
858,28639,I kicked a gypsy in the nuts when he tried to ask me out,-1
859,28638,I despise my roommates boyfriend,-1
860,28646,When I was young i was obsessed with exhibitionism,-1
861,28647,I have now become Pro-Life,0
862,28643,My Dad is a Caveman,0
863,28649,I was emotionally abusive to my ex,-1
864,28648,Took a scrunchie from the laundry room on my floor and I’m not sorry.,-1
865,26801,telling my boyfriend it's stupid he has to get his parents permission for everything,-1
866,26803,being jealous of my Sister's Serious Physical Health Problems,-1
867,26804,not taking my fiance seriously,-1
868,26805,not responding to my girlfriend for two hours while she was texting me,-1
869,26806,saying he showed a lack of respect for my belongings,-1
870,26809,stopping a friend from talking to an ex,-1
871,26808,not wanting a man to bring his daughter into a men's changeroom,1
872,28674,I feel guilty for not understanding why my mother didn't abort her children,-1
873,28677,I honestly don't think THE BIG BANG THEORY is that funny.,0
874,28675,I don’t mind vertical filming on phones because I find it hard to hold my phone sideways.,0
875,28672,I will NEVER help a republican with anything and neither should you.,-1
876,28671,I'm turned on by being humiliated and I hate it but can't stop,-1
877,28676,I just logged into my ex-girlfriends facebook-account,-1
878,28686,I'm a straight guy and I just banged a ladyboy,-1
879,28683,I made myself a sociopath,-1
880,28681,I hate people that snore,-1
881,28684,I crashed my brother's car.,-1
882,28680,I am a straight married guy and my wife like painting my toes. I like it!,0
883,28679,I just yelled at an old man.,-1
884,28685,I hate my girlfriends family.,-1
885,28698,I was terrified by my non-agressive lunch lady in Elementary School.,-1
886,28695,"I could literally drink steak sauce...I put it on rice, bacon, eggs, vegetables, nearly everything..I’m not ashamed...",0
887,28697,"I'm a woman, and I hate most males I know",-1
888,28699,I will probably never be wholly comfortable in bed ever again thanks to birth control,-1
889,28700,Things ive never even told my therapist,0
890,28702,i wish i were a woman,0
891,28696,I’m addicted to South Park,-1
892,26865,wanting to meet up vs pickup for Valentines,0
893,26860,upsetting my friend after calling her out for her hypocrisy,-1
894,26863,tailgating/honking at 'Christmas lights drivers',-1
895,26862,not wanting to talk to my friend while she's drunk,-1
896,26864,taking my nephew to a prostitute behind his parents' back,-1
897,28707,I’m very impolite towards people on the neighbors app,-1
898,28709,I'm nota racist but every time I drink I yell racial slurs at people from my apartment window,-1
899,28703,"I am a firm believer that you can only have one bestfriend. So, I don't have a bestfriend because of this.",-1
900,28704,I dont think the holocaust happened,-1
901,28710,I secretly don't respect people who,-1
902,28705,I'm thrilled that Denver just lifted their 30 year long ban on pet cassowaries,-1
903,28706,I unironically watch anime,-1
904,28708,I feel awful for how I’ve treated my father.,0
905,28732,I am a male crossdress who only likes to wear women underwear,-1
906,28723,"I steal from big chain stores all the time, and I don't feel bad about it",-1
907,28730,"I'm not really sure if this goes here, but I'm gonna put it here....",-1
908,28733,I stole the secretary's purse in school and would have been kicked out of school if I would have told anyone. Karma striked back though.,-1
909,28728,Should I confess my trauma to my boyfriend’s parents?,0
910,28731,I’m a female in my late 20s and I still sleep with a baby blanket and I don’t ever plan on stopping,-1
911,28729,I'm a horrible person and i lie about it,-1
912,28727,I haven't washed my calves in years.,-1
913,26888,touching my girlfriend's brother's fiancee's ear,-1
914,26893,ignoring certain people at them gym,-1
915,26890,not giving in when my elderly grandfather was clearly wrong about events that happened in the movie 'Tombstone',-1
916,26892,complaining about stinky coworker,-1
917,26891,talking back to a cripple,-1
918,26894,calling out my sister in law for throwing out my stuff,0
919,26887,telling my boss,0
920,26895,calling the police,1
921,26897,having a cold attitude about mental health on social media,-1
922,26905,raising my children in an unorthodox manner and not introducing them to my parents,-1
923,26898,telling my friends boyfriend she's planning on breaking up with him,-1
924,26902,trying to get someone in trouble at work,-1
925,28745,I’m so sick of people on here getting butthurt for literally no reason.,-1
926,28753,I can't walk with another person without trying to de-synch our steps.,0
927,28748,I love the sound of thunder on rainy days,0
928,28749,"My table manners, like myself, are horrible!",-1
929,28747,"I wish I was white and male, so I could be treated with more respect and be perceived as a viable and opportunistic leader.",-1
930,28744,I saved 10 puppies today while volunteering.,1
931,28746,I think I almost caused a school shooting,-1
932,28769,I don't try to care about politics because people just yell at you if you're ignorant instead of having actual debates about it,0
933,28770,Mutual love - my friend’s girlfriend and I,-1
934,28771,"At my old job, I either peed or spit in customers snow cones if they mentioned politics of any kind.",-1
935,28766,I wish I could wear girls clothing,0
936,28767,I don’t want to go to church anymore.,0
937,28774,I wish I had died.,-1
938,28764,I constantly think back to everyone who changed schools in grade school and tell myself it’s because of me.,0
939,28765,I hate growing up because I am an arab,-1
940,28783,"I rub my fingernails against my lips and other parts of my face and then sniff them, imagining the scent to be that of the various boys I've had crushes on over the years.",0
941,28789,Genuinely don't get trans stuff,0
942,28787,"During my confession before doing my first communion. I made up things to confess. I left out some things that I didn’t feel comfortable sharing. &amp; replaced them with equally severe if not more severe, confessions.",-1
943,28786,I think Juice WRLD faked his death,-1
944,28785,I like terrorising the programming teacher at my programming academy by turning my readable code into a unreadable blob,-1
945,26918,requesting for my dad to stop degrading me in front of my friends,1
946,26922,asking someone to respect our plans,1
947,26921,repeatedly calling out a coworker for gross personal habits,-1
948,26920,asking my girlfriend to not go to a strip club without me,-1
949,26919,telling girl I've been seeing that each gender has its own advantages,-1
950,26923,demanding some space from my mom,-1
951,26924,locking my mother out,-1
952,28802,I know my bf is cheatibg,-1
953,28803,I dont respect anyone who plays Fortnitè,-1
954,28799,Israel And Palestine Should Solve This Conflict Through a Political Marriage,0
955,28793,I took advantage of my grandmother’s dementia growing up.,-1
956,28797,i don't believe mental illness exists,-1
957,28798,Did an RKO to a homeless dude as a prank,-1
958,28796,I've only ever felt comfortable being myself around two people...,0
959,26930,cutting my neighbors sentimental plants,-1
960,26933,resenting my coworkers success and badmouthing him to our boss,-1
961,26927,always being against my girlfriends friends,-1
962,26926,not paying attention to politics,0
963,26925,asking my girlfriend to stop being friends with an ex who hits on her,-1
964,26929,really shouting at a manager of a repair shop,-1
965,26932,reminding my bf to use deodorant or brush his teeth,0
966,26937,getting my coworker fired,-1
967,26935,pointedly ignoring and walking away from an army vet,-1
968,26941,hitting my fiancee's child,-1
969,26939,refusing to be alone with my youngest sister even though it pains my elderly parents,-1
970,26934,not always replying to my girlfriends texts,-1
971,26938,wanting to look through my GF's downloaded messages on Facebook,-1
972,26949,having sex with my gf in my mom's house if I don't have anywhere else to do it even though she told me not to do so,-1
973,26943,thinking my boyfriend's roommate telling me I can't stay over is ridiculous,-1
974,26944,telling my parents that my sister had a boyfriend though my sister pleaded me not to,-1
975,26942,not wanting to be around my boyfriend's autistic brother for extended periods of time,-1
976,26945,yelling at my friend for laughing at a girl who was crying,-1
977,26946,being honest,1
978,26948,making a girl at the gym think I was creeping on her,-1
979,28840,I don't automatically respect someone's opinion because they have a bachelor's degree on the subject.,-1
980,28839,I have stolen my nextdoor neighbours dog,-1
981,28845,I May be trans?,0
982,28844,I’m upper 20’s and still sleep with a pillow I was given when I was born. It’s a her and her name is Lil’ Pilly.,-1
983,28837,When I'm at home I'll go outside to do my business dispite the fact I have a perfectly working toilet.,-1
984,28836,THERE ARE MORE THAN 2 GENDERS!,0
985,28848,I used to be a liberal but I am not anymore,-1
986,28851,i am a man that has been wearing women g string underwear for a full week.,-1
987,28850,Me and my bestfriend shoplifting and got caught,-1
988,28854,wearing my sisters underwear,-1
989,28852,I sleep with my brother's three anime body pillows at night to give me comfort,0
990,28846,I farted on a random ladies kid today.,-1
991,26976,singling a coworker out for toxic behavior,-1
992,26971,questioning the school nurse,-1
993,26974,yelling/cussing at elderly female Jehovah's witness,-1
994,26968,hating when people sit at my table without asking,-1
995,26969,not wanting to go to the UAE,0
996,26975,not wanting to talk politics with my girlfriend,-1
997,26973,asking my stepmom not to force her politics and atheism onto my sister,1
998,26972,"not going about my day in a cheerfull manner while I'm pregnant, miserable and tired",0
999,28855,My best friend cheated on her boyfriend with me,-1
1000,28862,I don’t think I respect the people in my life.,-1
1001,28861,I hate jews and obama too,-1
1002,28864,I think I’m falling in love with my friend’s boyfriend,-1
1003,28857,"Since we're confessing about sitcoms, I lose respect for anyone who likes 'How I Met Your Mother' and 'Big Bang Theory'",-1
1004,28859,I'm not a feminist or anything but,0
1005,28860,"I used to self harm a lot. when I get the tendencies and urges now, I was my hands in super hot water for as long as I can stand it. it’s super uncomfortable and painful but generally doesn’t actually harm me. it tapers off the urges to harm myself because in a way, i’m feeling self inflicted pain",0
1006,28856,dead mom jokes are my coping mechanism,0
